video_id,final_views,num_country,num_country_quantile,final_views_quantile,quantile
Ini3cZ4WE9s,471619,1,0,2,2
MAlwKftd1s4,246828,1,0,2,2
Mdvjb3-5uI0,392420,1,0,2,2
ODx6pY3G8ik,587804,1,0,2,2
QBucgmAN-Nc,248255,1,0,2,2
Rcv48c4Xuek,310600,1,0,2,2
S4Yy4V5BM4Y,498003,1,0,2,2
VPpua-iepPs,558083,1,0,2,2
WFjIV_kLlVs,456125,1,0,2,2
_4xOaU2XnNU,490835,1,0,2,2
c3pnhKKgEEo,253010,1,0,2,2
fly-6ef-USc,485838,1,0,2,2
g7CCuxtB7Gk,460173,1,0,2,2
gGX9x7tpXO0,300713,1,0,2,2
hHPM6qwhvPM,205288,1,0,2,2
iYNpq9Zmi_k,385849,1,0,2,2
mF585Jls4_k,441824,1,0,2,2
mSilfOXugI0,491265,1,0,2,2
nVDhozfGyPU,416022,1,0,2,2
o_POp85vTro,338262,1,0,2,2
pS81BL0dm1E,398685,1,0,2,2
r7ekFtRPZ20,198803,1,0,2,2
sMzDB4yRJYU,328808,1,0,2,2
tWrhFV1oWCA,328806,1,0,2,2
wc1sXED-rRQ,204328,1,0,2,2
3XtVa2_hc8o,432663,1,0,2,2
4V-7oAK78y4,209182,1,0,2,2
6gRUe8n32H4,423100,1,0,2,2
6sAuXNVnjiY,324845,1,0,2,2
7vLXfBRx5Vs,371407,1,0,2,2
8j38wNnxiho,234749,1,0,2,2
91GvjCmOIwE,289640,1,0,2,2
BqVe-La3obQ,287717,1,0,2,2
DXUUqr3AFKs,566550,1,0,2,2
E9hMzjsRf8I,282539,1,0,2,2
F4I57VXKK8M,431049,1,0,2,2
HZgxq0qg1Z0,427151,1,0,2,2
JGVNUNCqXAg,502476,1,0,2,2
JbB3hL1bk4c,456343,1,0,2,2
KRezubceqvQ,196794,1,0,2,2
L5byCxvRFXQ,590999,1,0,2,2
MaO5qzPaMQc,455595,1,0,2,2
Nie-GIhEdS8,423944,1,0,2,2
PRH_6C84fRA,282267,1,0,2,2
PRZGqtG__YA,442108,1,0,2,2
PVJAtxxesuQ,300236,1,0,2,2
PfWWRdvEVAo,283556,1,0,2,2
Rf4LYVfa5Jo,326619,1,0,2,2
Tlu8UfHa-IM,509738,1,0,2,2
TwAMKerLMBA,234656,1,0,2,2
VqdHfMj4W8U,299570,1,0,2,2
WtKtD13Od54,355434,1,0,2,2
YKtOgZ29R6U,260008,1,0,2,2
_83cgByEn_Q,399327,1,0,2,2
_JTJwGsZE_0,340910,1,0,2,2
a4zmdG_XwrY,583382,1,0,2,2
a9-9XNBxLmA,348703,1,0,2,2
aQYgxwGJ_Hs,338080,1,0,2,2
eqG8I_t3wFk,307171,1,0,2,2
fdgVfgEVQro,507807,1,0,2,2
gO3FAzRbZf4,492882,1,0,2,2
gQEW9fOAkZE,239919,1,0,2,2
h2jL_6U6nU4,342437,1,0,2,2
jChjr0RZfzQ,578150,1,0,2,2
jSoQ7XJHo3g,378284,1,0,2,2
klphUIdSaWs,312568,1,0,2,2
mDG4R2tjKKA,312652,1,0,2,2
oXRRlBImXT0,522550,1,0,2,2
pNeu1XsLI7o,510001,1,0,2,2
ppU8eIMuy2o,340680,1,0,2,2
qgnPREMEfI4,542739,1,0,2,2
uwJcVvxUevo,470220,1,0,2,2
vNY5aWuOdT8,491115,1,0,2,2
wMCTbQADYuM,223023,1,0,2,2
yRBOGn0A1LA,214336,1,0,2,2
ywpqATj7gvw,263018,1,0,2,2
zM_YMD2SnEc,400099,1,0,2,2
01H06TbMs4g,254109,1,0,2,2
1eo6EY81h50,223666,1,0,2,2
5AMk4bS2mRc,506954,1,0,2,2
5O427unhT4M,491592,1,0,2,2
7CCicLrV2Ic,276092,1,0,2,2
8qam5kOC6dA,306060,1,0,2,2
AECUECCCH-k,251880,1,0,2,2
AI3DU9v87-U,379128,1,0,2,2
CRy4QGZYxoo,491429,1,0,2,2
Cg0QUYz5IMU,475240,1,0,2,2
CnWYDqsV36A,362742,1,0,2,2
ETYblHyZFic,417592,1,0,2,2
EcsmTBaxqLc,482674,1,0,2,2
HQmIDHFyTOI,205419,1,0,2,2
L3kiqKwE8GE,342192,1,0,2,2
NvDW3HTZ298,286889,1,0,2,2
P7ne0bROxy8,233643,1,0,2,2
PXE2Ykf8fXQ,342300,1,0,2,2
SaCRJkaOztw,280590,1,0,2,2
SbNX5J57mG4,258344,1,0,2,2
SsCqQ2PtBnU,289639,1,0,2,2
U6cIon_loGY,507454,1,0,2,2
W19m0DNFZBg,363129,1,0,2,2
YFVM7pOekSI,367147,1,0,2,2
Yl_-3oSlWaU,223577,1,0,2,2
cCbl7cXCDBk,446412,1,0,2,2
cFRlaFjZkOc,342604,1,0,2,2
d2jnj9sntmY,582714,1,0,2,2
ecKItG-1J6Q,203512,1,0,2,2
f0Yy4lsk1XQ,302923,1,0,2,2
f5ok2bwXn2Q,321910,1,0,2,2
fZ-Pqbb4vt4,238013,1,0,2,2
g-AAZRbwkNI,527964,1,0,2,2
gHxFcT7JfjY,353402,1,0,2,2
gpuSiQl7cCA,311536,1,0,2,2
jwKZg78mAp8,230302,1,0,2,2
l6r5UXG0pBY,318383,1,0,2,2
nSsXAEeaZ3k,279683,1,0,2,2
of9adNYS9QM,366332,1,0,2,2
psgQl7-IM28,362372,1,0,2,2
qhjBaXVjcIY,366443,1,0,2,2
t6EM9T-9RTE,230379,1,0,2,2
vzNf-uoa-2I,307455,1,0,2,2
x-zRSJEYqVQ,435199,1,0,2,2
